NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT06943911,breast cancer early stage breast cancer (stage 1-3),Early Stage Breast Carcinoma,C2986665,Early Stage Breast Carcinoma
NCT06027411,"trauma, brain","Trauma, Brain",C0876926,Traumatic Brain Injury
NCT07199322,stroke,Stroke,C0038454,Cerebrovascular accident
NCT04419545,radiology,Radiology,C0034599,Radiology Specialty
NCT07298252,breast neoplasms,Breast Neoplasms,C1458155,Mammary Neoplasms
NCT07304778,"diabetes (insulin-requiring, type 1 or type 2)",Diabetes (Type I or II),C5570689,Diabetes (Type I or II)
NCT07031531,premature coronary heart disease,premature coronary heart disease,C1867743,Premature coronary artery disease
NCT07160491,stemi - st elevation myocardial infarction,STEMI - ST elevation myocardial infarction,C1303258,Acute ST segment elevation myocardial infarction (disorder)
NCT03499145,ophthalmopathy,ophthalmopathy,C0015397,Disorder of eye
NCT06771726,surgical wound infection,Surgical Wound Infection,C0038941,Surgical Wound Infection
NCT06843499,age-related macular degeneration (amd),AMD - Age-related macular degeneration,C0242383,Age related macular degeneration
NCT07140107,non-metastatic breast cancer,Non-Metastatic Breast Carcinoma,C5206820,Localized Breast Carcinoma
NCT06803420,head injury,HEAD INJURY,C0018674,Craniocerebral Trauma
NCT07222293,diabetic retinopathy (dr),DR - Diabetic retinopathy,C0011884,Diabetic Retinopathy
NCT07235657,chest pain,Chest Pain,C0008031,Chest Pain
NCT07160985,pre-diabetes,Pre-diabetes,C0362046,Prediabetes syndrome
NCT05942677,flat colorectal lesion,Colonic flat lesion,C0941188,Colonic flat lesion
NCT07069504,informed consent process,Informed Consent Process,C5669246,Informed Consent Process
NCT04562168,skin diseases,Skin Diseases,C0037274,Dermatologic disorders
NCT07154680,eye diseases,Eye Diseases,C0015397,Disorder of eye
NCT07176520,frail,frail,C0079377,Frail Elderly
NCT06834906,ocular diseases,Ocular disease,C0015397,Disorder of eye
NCT06407323,cerebral palsy,Cerebral Palsy,C0007789,Cerebral Palsy
NCT05176054,trauma,trauma,C0043251,Wounds and Injuries
NCT05182580,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT06017843,tuberculosis,Tuberculosis,C0041296,Tuberculosis
NCT05655117,artificial intelegence,Inteligência Artificial,C0003916,Artificial Intelligence
NCT06667986,"caries,dental","Caries, Dental",C0011334,Dental caries
NCT07100756,vertebral fracture,Vertebral fracture,C0080179,Spinal Fractures
NCT07042841,"liver cancer, adult","Liver Cancer, Adult",C2239176,Liver carcinoma
NCT06932172,skin cancer,skin cancer,C0007114,Malignant neoplasm of skin
NCT04555135,colon polyp,COLON POLYP,C0009376,Colonic Polyps
NCT06817915,neovascular age-related macular degeneration (namd),Neovascular age-related macular degeneration,C0271084,Exudative age-related macular degeneration
NCT06645015,colo-rectal cancer,colo-rectal cancer,C0009402,Colorectal Carcinoma
NCT06672419,fibromyalgia,Fibromyalgia,C0016053,Fibromyalgia
NCT07052773,lung cancer screening,Lung cancer screening,C0281477,Screening for malignant neoplasm of lung
NCT07205835,posture,Posture,C0722716,"Posture brand of calcium phosphate, tribasic"
NCT04196088,colorectal adenoma,Colorectal adenoma,C1302401,Adenoma of large intestine
NCT06881875,stress reduction,stress reduction,C0679002,stress reduction
NCT06481358,bowel obstruction,Bowel obstruction,C0021843,Intestinal Obstruction
NCT06656312,adenoma colon polyp,adenoma colon polyp,C0742605,colon (non-specific) polyp adenoma
NCT07273812,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT06346496,llm-based ai dialogue bot,lmbr rgn dvce ajstmnt ea.ajs,C1535785,Lumbar region device adjustment each adjustment
NCT05261932,colorectal adenoma,Colorectal adenoma,C1302401,Adenoma of large intestine
NCT04954677,magnet controlled capsule endoscopy,MAGNETICALLY CONTROLLED CAPSULE ENDOSCOPY W/I&R,C5691588,"Magnetically controlled capsule endoscopy, esophagus through stomach, including intraprocedural positioning of capsule, with interpretation and report"
NCT06766383,history-taking training,Health history taking education,C1304885,Health history taking education
NCT07081737,"pain, chronic","Pain, Chronic",C0150055,Chronic pain
NCT07237672,oral cancer,Oral Cancer,C0153381,Malignant neoplasm of mouth
NCT03955614,surgery,Surgery,C0038894,Surgery specialty
NCT06910436,coronary arterial disease (cad),CAD (coronary artery disease),C1956346,Coronary Artery Disease
NCT06638866,pancreatic cancer,PANCREATIC CANCER,C0235974,Pancreatic carcinoma
NCT07078136,submucosal tumor,Gastrointestinal submucosal tumour,C3495802,Gastrointestinal submucosal tumour
NCT07099261,dental crown,dental crown,C0010384,"Prostheses, Dental, Fixed, Crown, Total, Temporary"
NCT05131451,type 1 diabetes,Type 1 Diabetes,C0011854,"Diabetes Mellitus, Insulin-Dependent"
NCT06965439,control condition,Control,C0009932,Control Groups
NCT05988515,speech sound disorder,speech sound disorder,C2004345,phonological developmental disorder
NCT05704491,diabetes mellitus,diabetes mellitus,C0011849,Diabetes Mellitus
NCT06221397,melanoma,melanoma,C0025202,melanoma
NCT05967260,type 1 diabetes mellitus with hypoglycemia,Type 1 diabetes mellitus with hypoglycemia,C0837018,Type 1 diabetes mellitus with hypoglycemia
NCT07318233,exercise training,Exercise Training,C4279936,Exercise Training
NCT07154407,schizophrenia disorder,schizophrenia disorder,C0036341,Schizophrenia
NCT06830005,osteopenia or osteoporosis,Osteopenia or osteoporosis,C3553983,Osteopenia or osteoporosis
NCT07138495,stroke,Stroke,C0038454,Cerebrovascular accident
NCT07111845,patient satisfaction,Patient Satisfaction,C0030702,Client satisfaction
NCT06371859,healthy,Healthy,C3898900,Healthy
NCT07230431,respiratory failure (pediatric patients),Respiratory failure (excluding neonatal),C0852895,Respiratory failures (excl neonatal)
NCT07231627,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT04335318,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT05787522,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT06769867,cerebrovascular disease,Cerebrovascular disease,C0007820,Cerebrovascular Disorders
NCT06791382,hospital-acquired infections,Hospital-Acquired Infections,C0205721,"Infections, Hospital"
NCT06318559,cancer of prostate,Cancer of prostate,C0376358,Malignant neoplasm of prostate
NCT07056998,root canal treatment,Root Canal Therapy,C0035849,Root Canal Therapy
NCT05539066,health behavior,Health behavior,C0018687,Health behavior
NCT06884943,speech sound disorder,speech sound disorder,C2004345,phonological developmental disorder
NCT06306599,thyroid nodule,Thyroid Nodule,C0040137,Thyroid Nodule
NCT06470425,mental disorder,Mental Disorder,C0004936,Mental disorders
NCT06143657,"infection, bacterial","Infection, Bacterial",C0004623,Bacterial Infections
NCT07168382,social needs status,Social needs met,C4544507,Social needs met
NCT07316374,anxiety literacy,Education about anxiety,C4316460,Education about anxiety
NCT06495645,gastric neoplasm,gastric neoplasm,C0038356,Stomach Neoplasms
NCT07341906,skin diseases,Skin Diseases,C0037274,Dermatologic disorders
NCT05963945,pneumothorax,pneumothorax,C0032326,Pneumothorax
NCT07276022,laparoscopic surgery,Laparoscopic Surgery,C0751429,"Surgical Procedures, Laparoscopic"
NCT06626087,hepatocellular carcinoma,HEPATOCELLULAR CARCINOMA,C2239176,Liver carcinoma
NCT06808555,autism spectrum disorder,Autism spectrum disorder,C0524528,Pervasive Development Disorder
NCT05440435,bone injury,Bone injury,C0561852,Bone injury
NCT05272189,decision making,Decision Making,C0011109,Decision Making
NCT06507150,migraine,Migraine,C0149931,Migraine Disorders
NCT06470412,autoimmune diseases,Autoimmune Diseases,C0004364,Autoimmune Diseases
NCT07125300,colorectal neoplasms,Colorectal Neoplasms,C0009404,Colorectal Neoplasms
NCT06980701,gum disease,Gum disease,C0017563,Gingival Diseases
NCT07307157,brain cancer,brain cancer,C0006118,Brain Neoplasms
NCT06362291,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT06098950,acute respiratory failure,Acute respiratory failure,C0264490,Acute respiratory failure
NCT07145996,non specific low back pain,"Musculoskeletal pain, not low back pain",C5441503,"Musculoskeletal pain, not low back pain"
NCT07223853,surgery,Surgery,C0038894,Surgery specialty
NCT06762613,lung nodules,lung nodules,C0034079,Nodule of lung
NCT07334925,wearable devices,Wearable Devices,C4505348,Wearable Electronic Devices
NCT06783465,cognitive impairment,Cognitive impairment,C0338656,Impaired cognition
NCT05851885,"endoscopy, gastrointestinal","Endoscopy, Gastrointestinal",C0079278,"Endoscopy, Gastrointestinal"
NCT05851716,"endoscopy, gastrointestinal","Endoscopy, Gastrointestinal",C0079278,"Endoscopy, Gastrointestinal"
NCT06541288,uterine cervical neoplasms,Uterine Cervical Neoplasms,C0007873,Uterine Cervical Neoplasm
NCT07187934,pregnancy,Pregnancy,C0032961,Pregnancy
NCT06974188,high-risk pregnancy,High-Risk Pregnancy,C0242786,High-Risk Pregnancy
NCT04547673,otolaryngological disease,Otolaryngological Disease,C0029896,Otorhinolaryngologic Diseases
NCT06695273,coronary heart disease (chd),CHD (coronary heart disease),C0010068,Coronary heart disease
NCT04422548,screening colonoscopy,Screening colonoscopy,C1882982,Screening colonoscopy
NCT07077694,presence of missed canals,Absent root canals,C1852216,Absent root canals
NCT06075836,"pulmonary nodules, solitary","Pulmonary Nodules, Solitary",C2350019,Solitary Pulmonary Nodule
NCT05254132,non small cell lung cancer,non small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma
NCT07295964,restoration design,Restoration,C0449982,Type of restoration
NCT04524624,stroke,Stroke,C0038454,Cerebrovascular accident
NCT07045207,colorectal cancer,Colorectal Cancer,C0009402,Colorectal Carcinoma
NCT05424952,vaccination hesitancy,Vaccination Hesitancy,C5544400,Vaccination Hesitancy
NCT06812234,burnout,Burnout,C0006433,"Burnout, Professional"
NCT05687968,type 2 diabetes,Type 2 Diabetes,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT05355727,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT05415631,bladder cancer,bladder cancer,C0005684,Malignant neoplasm of urinary bladder
NCT04278274,rectal cancer,Rectal Cancer,C0007113,Rectal Carcinoma
NCT06832891,"preference, patient","Preference, Patient",C0376409,Patient Preference
NCT05731154,thyroid eye disease,Thyroid Eye Disease,C0339143,Graves Ophthalmopathy
NCT05194215,gastrointestinal issues,gastrointestinal problems,C0017187,Gastrointestinal problem
NCT06469658,diabetes,Diabetes,C0011847,Diabetes
NCT06470399,metabolic syndrome,Metabolic Syndrome,C0524620,Metabolic Syndrome X
NCT04991779,neonatal seizure,Neonatal seizure,C0159020,Convulsions in the newborn
NCT04979962,polyp colorectal,Polyp colorectal,C0949059,Polyp of large intestine
NCT07171086,pregnancy,Pregnancy,C0032961,Pregnancy
NCT07316647,youth mental health,Teen Mental Health,C1456718,Teen Mental Health
NCT05340738,cognitive behavioral therapy,Cognitive Behavioral Therapy,C0009244,Cognitive Therapy
NCT03622281,quality control,quality control,C0034378,quality control
NCT07045077,parkinson disease,Parkinson Disease,C0030567,Parkinson Disease
NCT07280559,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT03780582,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT05166122,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT04138771,cataract,Cataract,C0086543,Cataract
NCT07305324,masld,Metabolic dysfunction-associated steatotic liver disease (MASLD),C0400966,Non-alcoholic Fatty Liver Disease
NCT04232462,gastrointestinal disease,Gastrointestinal Disease,C0017178,Gastrointestinal Diseases
NCT05282056,covid-19,COVID-19,C5203670,COVID-19 Virus Disease
NCT06118840,intracranial aneurysm,Intracranial Aneurysm,C0007766,Intracranial Aneurysm
NCT06514248,lung cancer,Lung Cancer,C0242379,Malignant neoplasm of lung
NCT07232914,cleft lip repair,cleft lip repair,C0192070,Repair of cleft lip
NCT04354675,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT06961461,quality control,quality control,C0034378,quality control
NCT05272267,critical care,Critical Care,C0010337,Care of intensive care unit patient
NCT06208423,clinical decision-making,Clinical Decision-Making,C4042877,Clinical Decision-Making
NCT05800132,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT06605976,burnout,Burnout,C0006433,"Burnout, Professional"
NCT05398887,lung diseases,Lung diseases,C0024115,Lung diseases
NCT06629649,glaucoma,Glaucoma,C0017601,Glaucoma
NCT06400927,heart failure,Heart failure,C0018801,Heart failure
NCT06791408,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT06790134,pancreatic diseases,Pancreatic Diseases,C0030286,Pancreatic Diseases
NCT04208360,wheezing,Wheezing,C0043144,Wheezing
NCT05883072,"diabetes mellitus, type 2","Diabetes Mellitus, Type 2",C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
NCT05443672,breast neoplasms,Breast Neoplasms,C1458155,Mammary Neoplasms
NCT06211660,hand hygiene,Hand Hygiene,C3494474,Hand Hygiene
NCT05689073,vaccination hesitancy,Vaccination Hesitancy,C5544400,Vaccination Hesitancy
NCT06790108,mediastinal disease,Mediastinal Disease,C0025061,Mediastinal Diseases
NCT07250347,gastric cancer stage,gastric cancer stage,C0280253,"stage, gastric cancer"
NCT04340180,breast benign tumor,breast benign tumor,C0346156,Benign neoplasm of breast
NCT06622863,gingivitis,Gingivitis,C0017574,Gingivitis
NCT05364268,2019 novel coronavirus disease,2019 Novel Coronavirus Disease,C5203670,COVID-19 Virus Disease
NCT06042543,cervical cancer,Cervical cancer,C0007847,Malignant tumor of cervix
NCT06077435,colonic polyp,COLONIC POLYP,C0009376,Colonic Polyps
NCT05324189,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT07250516,vignette based intervention,Vignette,C0007306,Cartoons
NCT06657573,influenza vaccines,Influenza Vaccines,C0021403,Influenza virus vaccine
NCT05036395,neonatal seizure,Neonatal seizure,C0159020,Convulsions in the newborn
NCT06828900,adhd,ADHD,C1263846,Attention deficit hyperactivity disorder
NCT06859216,ophthalmic disease,ophthalmic disorders,C0015397,Disorder of eye
NCT05948293,infertility,Infertility,C0021359,Infertility
NCT07198581,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT04213183,ophthalmology,Ophthalmology,C0029087,Ophthalmology specialty
NCT06518928,infertility,Infertility,C0021359,Infertility
NCT07208864,gastric intestinal metaplasia,Gastric intestinal metaplasia,C0267187,Gastric intestinal metaplasia
NCT04606862,sepsis,Sepsis,C0036690,Septicemia
NCT06570486,head and neck cancer,head and neck cancer,C0278996,Malignant Head and Neck Neoplasm
NCT06235112,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT06780358,bladder cancer,bladder cancer,C0005684,Malignant neoplasm of urinary bladder
NCT06589934,precise image (ai reconstruction feature of ct 5400 rt system),Precise,C2939802,Precise
NCT06286865,gastrointestinal diseases,Gastrointestinal Diseases,C0017178,Gastrointestinal Diseases
NCT04768387,irritable bowel syndrome mixed,irritable bowel syndrome mixed,C4268640,Mixed irritable bowel syndrome
NCT06814327,circulatory failure,Circulatory Failure,C0036974,Shock
NCT04561024,covid19,COVID19,C5203670,COVID-19 Virus Disease
NCT05527535,diabetic retinopathy,Diabetic Retinopathy,C0011884,Diabetic Retinopathy
NCT06762210,smoking cessation; tobacco dependence,Tobacco Dependence,C0040332,Tobacco Dependence
NCT06448234,hypercholesterolemia,Hypercholesterolemia,C0020443,Hypercholesterolemia
NCT06459128,mental health issue,Mental health issue,C4061796,Mental health issue
NCT06056518,kidney transplant failure,Kidney transplant failure,C1404117,"transplant; failure, kidney"
NCT04921410,knee injuries,Knee Injuries,C0022744,Knee Injuries
NCT06566014,spina bifida,spina bifida,C0080178,Spina Bifida
NCT07069998,atrial fibrillation (af),atrial fibrillation (AF),C0004238,Atrial Fibrillation
NCT06791395,colorectal polyp,colorectal polyp,C0949059,Polyp of large intestine
NCT06458296,obesity,Obesity,C0028754,Obesity
NCT06613503,incontinence,Incontinence,C0021167,Incontinence
NCT06273332,registration accuracy,Image Registration,C2697663,Image Registration
NCT06858371,depression literacy,Determine literacy,C0509980,Determine literacy
NCT06969794,gastric neoplasm,gastric neoplasm,C0038356,Stomach Neoplasms
NCT05648175,depression,Depression,C0011570,Mental Depression
NCT06804785,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT06584890,artificial intelegence,Inteligência Artificial,C0003916,Artificial Intelligence
NCT07308522,plaque induced gingivitis,Plaque induced gingivitis,C4076304,Dental plaque induced gingivitis
