NCT Number,Conditions,Conditions_mapped_concept,Conditions_mapped_concept_id,Conditions_mapped_official_concept
NCT06588452,comparing manual and ai patient screening in heart failure,Heart failure tracking panel:-:To identify measures at a point in time:^Patient:-,C2708655,Heart failure tracking panel:-:Pt:^Patient:-
NCT05374122,neoplasms,Neoplasms,C0027651,Neoplasms
NCT06939738,acute myocardial infarction (ami),AMI - Acute myocardial infarction,C0155626,Acute myocardial infarction
NCT06266026,breast cancer,Breast Cancer,C0006142,Malignant neoplasm of breast
NCT05538403,fracture,Fracture,C0016658,Fracture
NCT04821349,iron deficiency anemia,Iron deficiency anemia,C0162316,Iron deficiency anemia
NCT06968325,root resorption,Root Resorption,C0035851,Root Resorption
NCT04208971,atrial fibrillation,Atrial Fibrillation,C0004238,Atrial Fibrillation
NCT06456853,"pain, postoperative","Pain, Postoperative",C0030201,Postoperative Pain
NCT06055530,soil transmitted helminths,HELMINTHIC INFECTIOUS DISEASES,C0018889,Helminthiasis
NCT06649500,balance disorders,balance disorders,C0575090,Equilibration disorder
NCT07132125,hpv vaccination intent,HPV vaccination ever,C3174499,Have you ever had the HPV vaccination:Find:Pt:^Patient:Ord
NCT06854315,cancer,Cancer,C0006826,Malignant Neoplasms
NCT07066423,bimaxillary protrusion,Bimaxillary protrusion,C3697648,Bimaxillary protrusion
NCT06498674,thyroid cancer,Thyroid cancer,C0007115,Malignant neoplasm of thyroid
NCT05583032,ultrasound imaging of anatomical structures,Ultrasound imaging - action,C0041618,Ultrasonography
NCT07236385,forward head posture,head posture tilted forward,C2029684,head tilted forward
NCT05937451,acute kidney injury,Acute kidney injury,C0022660,"Kidney Failure, Acute"
NCT07171944,delirium,delirium,C0011206,Delirium
NCT06306677,periodontitis,periodontitis,C0031099,Periodontitis
NCT06785051,oral cancer,Oral Cancer,C0153381,Malignant neoplasm of mouth
NCT04055766,stroke,Stroke,C0038454,Cerebrovascular accident
NCT06837974,portal hypertension related to cirrhosis,Hypertrophic portal cirrhosis,C2004456,Macronodular cirrhosis
NCT06763952,vision,Vision,C0042789,Vision
NCT06978075,chest wall tumor,chest wall tumor,C1290309,Neoplasm of chest wall
NCT07188181,surgical education and anatomical identification in laparoscopic cholecystectomy,laparoscopic gastrointestinal procedure on cecum or ascending colon in detail,C2111374,laparoscopic gastrointestinal procedure on cecum or ascending colon in detail
NCT06355557,ultrasound,Ultrasound,C0041618,Ultrasonography
NCT05089071,adenoma,Adenoma,C0001430,Adenoma
NCT07136727,"oncological comorbidities (e. g. hypertension, diabetes, malnutrition)",Oncologic Complications,C0280950,cancer-related problem/condition
NCT06754137,"fractures, bone","Fractures, Bone",C0016658,Fracture
NCT05268263,respiratory,respirátory,C0035209,"Respirators, Industrial"
NCT07027891,myocardial infarction (mi),Myocardial infarction (MI),C0027051,Myocardial Infarction
NCT06803004,"hip dysplasia, developmental","Hip Dysplasia, Developmental",C3280020,Developmental Dysplasia of the Hip
NCT06897033,white spot lesions,White Spot Lesion,C0949177,White Spot Lesion
NCT07107152,colorectal cancer control and prevention,colorectal cancer prevention,C0281190,Prevention of Colorectal Cancer
NCT05583968,coronary artery disease,coronary artery disease,C0010054,Coronary Arteriosclerosis
NCT06909682,chronic heart failure,Chronic heart failure,C0264716,Chronic heart failure
NCT06501599,"pneumonia, viral","Pneumonia, Viral",C0032310,"Pneumonia, Viral"
NCT06753318,pancreatic cancer,PANCREATIC CANCER,C0235974,Pancreatic carcinoma
NCT05832411,upper gastrointestinal symptoms,Upper gastrointestinal symptoms,C0857493,Upper gastrointestinal symptoms
NCT05929105,developmental dysplasia of the hip,Developmental Dysplasia of the Hip,C3280020,Developmental Dysplasia of the Hip
NCT03623971,cataract,Cataract,C0086543,Cataract
NCT07167056,cancer,Cancer,C0006826,Malignant Neoplasms
NCT07132320,pressure ulcer,Pressure Ulcer,C4554531,Pressure injury
NCT06760104,dental plaque,Dental Plaque,C0011389,Dental Plaque
NCT06575361,prostate cancer,Prostate Cancer,C0376358,Malignant neoplasm of prostate
NCT05056909,chronic kidney diseases,Chronic Kidney Diseases,C1561643,Chronic Kidney Diseases
NCT07019688,anxiety,Anxiety,C0003467,Anxiety
NCT06986564,cancer,Cancer,C0006826,Malignant Neoplasms
NCT07012577,total hip arthroplasty (tha),Total Hip Arthroplasty,C0040508,Total Hip Replacement
